nmi,kernel,format,dims,minPts,eps,delta,lambda,kappa
0.08238172173812605,wl3,matrix,25,5,0.25,5,50,10
0.001978869673592188,graphlet,vector,25,7,0.75,0.1,75,1000
0.06591551127818306,wl5,vector,25,10,0.75,0.25,75,100
0.08169663093860617,wl5,matrix,50,5,5,5,50,1000
0.08072790567747767,wl1,matrix,25,7,0.75,0.1,50,100
0.10825733373943974,wl4,matrix,50,2,0.25,1,75,10
0.08238172173812605,wl5,matrix,75,5,2,1,75,1000
0.05232252461574254,shortestpath,matrix,25,25,0.75,1,30,1000
0.0711550383596759,wl5,matrix,25,10,2,20,30,100
0.02221437886778433,graphlet,matrix,25,7,0.25,1,50,1000
0.04577537340069583,wl5,vector,75,15,0.25,0.1,75,1000
0.06591551127818306,wl2,vector,50,10,0.25,0.5,50,1000
0.05621793356953671,wl3,vector,25,15,2,0.1,30,100
0.06516387081736598,wl2,vector,25,10,0.75,0.25,75,10
0.08072790567747767,wl5,vector,75,7,2,1,75,1000
0.06824494951432279,shortestpath,matrix,25,2,0.25,0.5,75,1000
0.08238172173812605,wl5,vector,25,5,2,20,50,1000
0.06591551127818306,wl1,matrix,25,10,0.75,0.25,75,1000
0.08072790567747767,wl5,matrix,25,7,0.25,0.5,30,1000
0.10570368250674367,wl3,vector,25,2,0.25,5,75,1000
0.06839050378496488,wl3,matrix,50,10,5,0.5,50,100
0.08072790567747767,wl2,vector,25,7,0.75,0.1,75,1000
0.06226300668418364,wl5,matrix,25,10,2,0.5,30,10
0.10536236278414146,wl5,vector,25,2,0.25,0.5,30,100
0.07193583534394338,wl5,vector,25,5,5,0.5,50,100
0.08072790567747767,wl1,vector,50,7,0.25,1,50,1000
0.10078438576890321,wl1,vector,75,2,0.75,20,75,10
0.10570368250674367,wl1,vector,25,2,0.75,5,50,1000
0.020830857906415683,wl2,vector,50,25,0.75,5,75,100
0.04577537340069583,wl4,matrix,50,15,0.25,5,75,1000
0.08238172173812605,wl4,matrix,75,5,0.75,0.5,75,100
0.008268853445585422,graphlet,matrix,50,10,0.25,5,50,100
0.08238172173812605,wl3,matrix,50,5,0.75,1,75,1000
0.037215865261324255,wl5,matrix,25,15,5,20,50,1000
0.06535071128602062,shortestpath,vector,25,5,0.75,20,75,1000
0.08390293199959888,wl2,vector,25,5,0.75,0.1,30,10
0.06591551127818306,wl1,vector,75,10,0.75,5,75,100
0.09296281337798083,wl3,matrix,50,2,5,20,50,100
0.08613648281962982,wl4,matrix,25,7,0.75,5,30,10
0.06540119615963,wl4,matrix,75,10,0.75,0.1,75,10
0.06591551127818306,wl2,vector,25,10,0.25,0.1,30,10
0.08482600988340525,wl4,vector,50,7,5,1,75,1000
0.020830857906415683,wl3,matrix,75,25,5,1,75,1000
0.021274194231958407,wl2,vector,25,5,2,20,75,10
0.08380784219036447,wl1,vector,25,5,2,0.5,30,100
0.08072790567747767,wl2,matrix,50,7,0.25,5,75,100
0.020830857906415683,wl1,matrix,25,25,2,5,30,1000
0.08072790567747767,wl1,matrix,75,7,0.75,20,75,100
0.08456302578657778,wl1,matrix,25,7,0.75,0.5,30,10
0.10570368250674367,wl1,vector,75,2,0.25,1,75,1000
0.06448541236426068,wl1,vector,75,10,5,0.1,75,1000
0.10536236278414145,wl1,vector,25,2,0.25,20,75,10
0.0837122633415394,wl1,matrix,25,5,2,5,75,100
0.020830857906415683,wl1,matrix,25,25,0.25,0.25,50,100
0.0613610222772996,wl1,matrix,25,15,5,0.5,30,1000
0.020830857906415683,wl1,vector,50,25,0.25,0.5,50,1000
0.07033415943346613,wl1,vector,50,10,5,1,75,1000
0.04577537340069583,wl1,matrix,50,15,0.75,0.5,75,100
0.06591551127818306,wl1,matrix,50,10,0.25,0.5,75,100
0.06134026503800923,wl1,vector,50,15,5,5,50,1000
0.09703818740309621,wl1,vector,50,2,2,0.1,75,10
0.11947687141552484,wl1,matrix,75,2,5,0.5,75,100
0.07033455615067967,wl1,matrix,25,10,5,5,50,1000
0.10570368250674367,wl1,matrix,50,2,2,20,50,1000
0.06591551127818306,wl1,vector,25,10,0.75,20,30,1000
0.06591551127818306,wl1,matrix,25,10,0.75,0.1,30,100
0.1273231912022786,wl1,vector,25,2,5,1,50,100
0.10343201918378711,wl1,matrix,25,10,2,20,50,10
0.06591551127818306,wl1,vector,50,10,0.75,0.25,50,100
0.06591551127818306,wl1,vector,75,10,0.25,0.25,75,10
0.04577537340069583,wl1,vector,25,15,2,5,30,1000
0.06591551127818306,wl1,matrix,25,10,0.75,5,30,1000
0.06591551127818306,wl1,matrix,50,10,0.25,5,50,100
0.08238172173812605,wl1,vector,50,5,2,1,50,1000
0.10570368250674367,wl1,matrix,50,2,0.25,5,75,100
0.020830857906415683,wl1,vector,25,25,0.75,0.25,30,1000
0.08072790567747767,wl1,matrix,25,7,0.75,5,75,1000
0.0813588144673727,wl1,vector,25,7,5,5,30,1000
0.04577537340069583,wl1,vector,75,15,0.75,0.25,75,1000
0.06854578848986435,wl1,matrix,25,10,2,0.5,30,100
0.06591551127818306,wl1,vector,50,10,0.25,0.1,50,100
0.10570368250674367,wl1,matrix,75,2,0.25,20,75,1000
0.020830857906415683,wl1,matrix,25,25,0.25,5,50,100
0.06591551127818306,wl1,vector,50,10,2,5,75,1000
0.04577537340069583,wl1,matrix,75,15,2,1,75,1000
0.10570368250674367,wl1,matrix,25,2,0.25,0.5,30,100
0.10536236278414145,wl1,matrix,50,2,0.25,0.1,50,10
0.05589560991552427,wl1,vector,25,15,5,0.1,50,1000
0.10343201918378711,wl1,vector,25,10,2,5,75,10
0.08072790567747767,wl1,vector,50,7,0.75,0.5,50,1000
0.10570368250674367,wl1,vector,50,2,0.75,0.5,50,1000
0.0613610222772996,wl1,matrix,25,15,5,0.5,30,1000
0.018650493371582193,wl1,vector,25,25,0.75,1,30,10
0.08639456113978036,wl1,vector,50,7,0.75,0.5,75,10
0.08072790567747767,wl1,matrix,50,7,0.75,0.5,75,1000
0.06591551127818306,wl1,vector,75,10,0.25,0.1,75,100
0.08238172173812605,wl1,matrix,75,5,0.25,20,75,100
0.020830857906415683,wl1,vector,25,25,0.25,0.5,75,10
0.10296868346901548,wl1,vector,25,2,0.75,20,30,10
0.04577537340069583,wl1,vector,50,15,0.75,0.1,75,100
0.04577537340069583,wl1,vector,25,15,0.75,1,50,100
0.020830857906415683,wl1,vector,50,25,0.75,0.1,50,1000
0.10296868346901548,wl1,matrix,25,2,0.75,5,50,10
0.10536236278414145,wl1,vector,50,2,0.25,1,50,10
0.04577537340069583,wl1,vector,50,15,0.75,1,50,100
0.08947071105609991,wl1,matrix,50,10,5,0.1,75,100
0.04577537340069583,wl1,matrix,25,15,0.75,0.1,75,100
0.10536236278414145,wl1,vector,50,2,0.25,0.5,50,10
0.08316669441969311,wl1,matrix,75,5,2,0.25,75,1000
0.08072790567747767,wl1,matrix,25,7,0.75,20,75,100
0.0876908058176906,wl1,matrix,50,5,0.75,0.25,75,10
0.06591551127818306,wl1,matrix,50,10,0.75,20,50,1000
0.08238172173812605,wl1,vector,25,5,0.25,0.1,30,100
0.0188422919390738,wl1,matrix,75,25,0.75,5,75,10
0.08456302578657778,wl1,vector,25,7,0.75,0.5,50,10
0.10570368250674367,wl1,vector,50,2,0.75,5,75,1000
0.07012583378258086,wl1,vector,25,10,0.75,20,75,10
